date,etrf,etr_mm,crad,et_mm,is_image
2026-05-01,0.4558,4.306,1.0074,1.977,0
2026-05-02,0.4558,3.509,1.0074,1.611,0
2026-05-03,0.4558,3.339,1.0074,1.533,0
2026-05-04,0.4558,3.551,1.0074,1.630,0
2026-05-05,0.4558,5.518,1.0074,2.533,0
2026-05-06,0.4558,6.558,1.0074,3.011,0
2026-05-07,0.4558,7.310,1.0074,3.356,0
2026-05-08,0.4558,5.582,1.0074,2.563,0
2026-05-09,0.4558,5.485,1.0074,2.518,0
2026-05-10,0.4558,3.808,1.0074,1.748,0
2026-05-11,0.4558,4.807,1.0074,2.207,0
2026-05-12,0.4558,6.836,1.0074,3.139,0
2026-05-13,0.4558,7.206,1.0074,3.308,0
2026-05-14,0.4558,8.045,1.0074,3.694,0
2026-05-15,0.4558,6.470,1.0074,2.970,1
2026-05-16,0.4558,5.858,1.0074,2.689,0
2026-05-17,0.4558,9.183,1.0074,4.216,0
2026-05-18,0.4558,4.341,1.0074,1.993,0
2026-05-19,0.4558,5.178,1.0074,2.377,0
2026-05-20,0.4558,6.251,1.0074,2.870,0
2026-05-21,0.4558,4.123,1.0074,1.893,0
2026-05-22,0.4558,4.075,1.0074,1.871,0
2026-05-23,0.4558,3.349,1.0074,1.538,0
2026-05-24,0.4558,4.011,1.0074,1.842,0
2026-05-25,0.4558,6.046,1.0074,2.776,0
2026-05-26,0.4558,5.799,1.0074,2.662,0
2026-05-27,0.4558,7.097,1.0074,3.258,0
2026-05-28,0.4558,5.342,1.0074,2.453,0
2026-05-29,0.4558,7.712,1.0074,3.541,0
2026-05-30,0.4558,8.226,1.0074,3.777,0
2026-05-31,0.4558,6.915,1.0074,3.175,0
