date,etrf,etr_mm,crad,et_mm,is_image
2026-05-01,0.3205,4.885,0.9939,1.556,0
2026-05-02,0.3205,4.453,0.9939,1.418,0
2026-05-03,0.3205,4.736,0.9939,1.508,0
2026-05-04,0.3205,4.407,0.9939,1.404,0
2026-05-05,0.3205,7.208,0.9939,2.296,0
2026-05-06,0.3205,8.719,0.9939,2.777,0
2026-05-07,0.3205,8.315,0.9939,2.648,0
2026-05-08,0.3205,7.270,0.9939,2.315,0
2026-05-09,0.3205,8.854,0.9939,2.820,0
2026-05-10,0.3205,4.645,0.9939,1.479,0
2026-05-11,0.3205,7.368,0.9939,2.347,0
2026-05-12,0.3205,8.144,0.9939,2.594,0
2026-05-13,0.3205,7.845,0.9939,2.499,0
2026-05-14,0.3205,8.050,0.9939,2.564,0
2026-05-15,0.3205,5.929,0.9939,1.888,1
2026-05-16,0.3205,8.163,0.9939,2.600,0
2026-05-17,0.3205,11.728,0.9939,3.735,0
2026-05-18,0.3205,4.723,0.9939,1.504,0
2026-05-19,0.3205,5.402,0.9939,1.720,0
2026-05-20,0.3205,8.558,0.9939,2.726,0
2026-05-21,0.3205,4.441,0.9939,1.414,0
2026-05-22,0.3205,4.377,0.9939,1.394,0
2026-05-23,0.3205,3.545,0.9939,1.129,0
2026-05-24,0.3205,4.303,0.9939,1.371,0
2026-05-25,0.3205,7.397,0.9939,2.356,0
2026-05-26,0.3205,6.718,0.9939,2.140,0
2026-05-27,0.3205,6.207,0.9939,1.977,0
2026-05-28,0.3205,7.523,0.9939,2.396,0
2026-05-29,0.3205,8.936,0.9939,2.846,0
2026-05-30,0.3205,10.624,0.9939,3.384,0
2026-05-31,0.3205,8.463,0.9939,2.695,0
