date,etrf,etr_mm,crad,et_mm,is_image
2026-04-01,0.5540,3.588,0.9934,1.974,0
2026-04-02,0.5540,2.465,0.9934,1.357,0
2026-04-03,0.5540,1.322,0.9934,0.727,0
2026-04-04,0.5540,3.267,0.9934,1.798,0
2026-04-05,0.5540,3.999,0.9934,2.201,0
2026-04-06,0.5540,2.404,0.9934,1.323,0
2026-04-07,0.5540,1.210,0.9934,0.666,0
2026-04-08,0.5540,3.012,0.9934,1.658,0
2026-04-09,0.5540,4.034,0.9934,2.220,0
2026-04-10,0.5540,3.670,0.9934,2.020,0
2026-04-11,0.5540,3.767,0.9934,2.073,0
2026-04-12,0.5540,4.515,0.9934,2.485,0
2026-04-13,0.5540,5.056,0.9934,2.782,0
2026-04-14,0.5540,4.253,0.9934,2.341,1
2026-04-15,0.5540,3.405,0.9934,1.874,0
2026-04-16,0.5540,3.510,0.9934,1.932,0
2026-04-17,0.5540,3.387,0.9934,1.864,0
2026-04-18,0.5540,3.597,0.9934,1.979,0
2026-04-19,0.5540,4.890,0.9934,2.691,0
2026-04-20,0.5540,7.295,0.9934,4.014,0
2026-04-21,0.5540,5.621,0.9934,3.093,0
2026-04-22,0.5540,2.556,0.9934,1.407,0
2026-04-23,0.5540,3.437,0.9934,1.892,0
2026-04-24,0.5540,5.549,0.9934,3.054,0
2026-04-25,0.5540,6.926,0.9934,3.812,0
2026-04-26,0.5540,5.873,0.9934,3.232,0
2026-04-27,0.5540,5.971,0.9934,3.286,0
2026-04-28,0.5540,5.847,0.9934,3.218,0
2026-04-29,0.5540,5.173,0.9934,2.847,0
2026-04-30,0.5540,5.688,0.9934,3.130,0
