date,etrf,etr_mm,crad,et_mm,is_image
2026-03-01,0.0768,1.734,0.9643,0.128,0
2026-03-02,0.0768,1.538,0.9643,0.114,0
2026-03-03,0.0768,1.170,0.9643,0.087,0
2026-03-04,0.0768,0.789,0.9643,0.058,0
2026-03-05,0.0768,0.839,0.9643,0.062,0
2026-03-06,0.0768,1.073,0.9643,0.079,0
2026-03-07,0.0768,1.650,0.9643,0.122,0
2026-03-08,0.0768,2.125,0.9643,0.157,0
2026-03-09,0.0768,2.065,0.9643,0.153,0
2026-03-10,0.0768,1.197,0.9643,0.089,0
2026-03-11,0.0768,1.245,0.9643,0.092,0
2026-03-12,0.0768,1.584,0.9643,0.117,0
2026-03-13,0.0768,1.804,0.9643,0.134,0
2026-03-14,0.0768,1.913,0.9643,0.142,0
2026-03-15,0.0768,1.614,0.9643,0.120,0
2026-03-16,0.0768,1.662,0.9643,0.123,0
2026-03-17,0.0768,2.429,0.9643,0.180,0
2026-03-18,0.0768,2.393,0.9643,0.177,0
2026-03-19,0.0768,2.020,0.9643,0.150,0
2026-03-20,0.0768,1.899,0.9643,0.141,0
2026-03-21,0.0768,2.611,0.9643,0.193,0
2026-03-22,0.0768,2.682,0.9643,0.199,0
2026-03-23,0.0768,1.782,0.9643,0.132,0
2026-03-24,0.0768,3.002,0.9643,0.222,1
2026-03-25,0.0768,3.983,0.9643,0.295,0
2026-03-26,0.0768,3.524,0.9643,0.261,0
2026-03-27,0.0768,3.870,0.9643,0.287,0
2026-03-28,0.0768,3.702,0.9643,0.274,0
2026-03-29,0.0768,2.303,0.9643,0.171,0
2026-03-30,0.0768,2.554,0.9643,0.189,0
2026-03-31,0.0768,2.876,0.9643,0.213,0
