date,etrf,etr_mm,crad,et_mm,is_image
2026-04-01,0.4084,3.831,0.9917,1.552,0
2026-04-02,0.4084,2.649,0.9917,1.073,0
2026-04-03,0.4084,1.316,0.9917,0.533,0
2026-04-04,0.4084,3.784,0.9917,1.533,0
2026-04-05,0.4084,4.487,0.9917,1.817,0
2026-04-06,0.4084,2.717,0.9917,1.100,0
2026-04-07,0.4084,1.491,0.9917,0.604,0
2026-04-08,0.4084,3.364,0.9917,1.362,0
2026-04-09,0.4084,4.374,0.9917,1.771,0
2026-04-10,0.4084,3.999,0.9917,1.619,0
2026-04-11,0.4084,4.056,0.9917,1.642,0
2026-04-12,0.4084,4.963,0.9917,2.010,0
2026-04-13,0.4084,5.580,0.9917,2.260,1
2026-04-14,0.4173,4.561,0.9917,1.887,0
2026-04-15,0.4173,4.018,0.9917,1.663,0
2026-04-16,0.4173,4.133,0.9917,1.710,0
2026-04-17,0.4173,3.712,0.9917,1.536,0
2026-04-18,0.4173,3.962,0.9917,1.639,0
2026-04-19,0.4173,5.660,0.9917,2.342,0
2026-04-20,0.4173,8.709,0.9917,3.604,0
2026-04-21,0.4173,6.674,0.9917,2.761,0
2026-04-22,0.4173,2.835,0.9934,1.175,0
2026-04-23,0.4173,3.737,0.9934,1.549,0
2026-04-24,0.4173,6.097,0.9934,2.527,0
2026-04-25,0.4173,8.018,0.9934,3.323,0
2026-04-26,0.4173,6.978,0.9934,2.893,0
2026-04-27,0.4173,7.182,0.9934,2.977,0
2026-04-28,0.4173,7.169,0.9934,2.972,0
2026-04-29,0.4261,6.040,0.9934,2.557,1
2026-04-30,0.4261,6.835,0.9934,2.893,0
