date,etrf_tile,etr_mm_hr,le_wm2,rn_wm2,g_wm2,h_wm2
2026-04-13,0.4087,0.2427,63.06,38.34,6.34,-31.06
2026-04-29,0.4386,0.2880,79.08,54.27,10.52,-35.32
