date,etrf,etr_mm,crad,et_mm,is_image
2026-04-01,0.1571,3.579,1.0165,0.571,0
2026-04-02,0.1571,3.366,1.0165,0.537,0
2026-04-03,0.1571,3.363,1.0165,0.537,0
2026-04-04,0.1571,1.996,1.0165,0.319,0
2026-04-05,0.1571,2.571,1.0165,0.410,0
2026-04-06,0.1571,3.107,1.0165,0.496,0
2026-04-07,0.1571,2.643,1.0165,0.422,0
2026-04-08,0.1571,1.996,1.0165,0.319,0
2026-04-09,0.1571,2.623,1.0165,0.419,0
2026-04-10,0.1571,3.051,1.0165,0.487,0
2026-04-11,0.1571,3.075,1.0165,0.491,0
2026-04-12,0.1571,3.579,1.0165,0.571,0
2026-04-13,0.1571,4.142,1.0165,0.661,0
2026-04-14,0.1571,4.741,1.0165,0.757,0
2026-04-15,0.1571,3.929,1.0165,0.627,0
2026-04-16,0.1571,2.779,1.0165,0.444,0
2026-04-17,0.1571,3.157,1.0165,0.504,0
2026-04-18,0.1571,3.165,1.0165,0.505,0
2026-04-19,0.1571,3.172,1.0165,0.506,0
2026-04-20,0.1571,4.641,1.0165,0.741,0
2026-04-21,0.1571,3.579,1.0165,0.571,0
2026-04-22,0.1571,2.227,1.0165,0.355,0
2026-04-23,0.1571,2.340,1.0165,0.374,0
2026-04-24,0.1571,4.163,1.0165,0.665,1
2026-04-25,0.1571,4.425,1.0165,0.706,0
2026-04-26,0.1571,4.035,1.0165,0.644,0
2026-04-27,0.1571,4.101,1.0165,0.655,0
2026-04-28,0.1571,3.464,1.0165,0.553,0
2026-04-29,0.1571,4.017,1.0165,0.641,0
2026-04-30,0.1571,3.927,1.0165,0.627,0
