date,etrf,etr_mm,crad,et_mm,is_image
2026-05-01,0.1729,4.165,1.0171,0.733,0
2026-05-02,0.1729,3.340,1.0171,0.588,0
2026-05-03,0.1729,2.966,1.0171,0.522,0
2026-05-04,0.1729,3.482,1.0171,0.613,0
2026-05-05,0.1729,4.374,1.0171,0.769,0
2026-05-06,0.1729,5.539,1.0171,0.974,0
2026-05-07,0.1729,5.518,1.0171,0.971,0
2026-05-08,0.1729,5.367,1.0171,0.944,0
2026-05-09,0.1729,4.866,1.0171,0.856,0
2026-05-10,0.1729,2.648,1.0171,0.466,0
2026-05-11,0.1729,4.284,1.0171,0.754,0
2026-05-12,0.1729,4.156,1.0171,0.731,0
2026-05-13,0.1729,5.197,1.0171,0.914,0
2026-05-14,0.1729,5.414,1.0171,0.952,0
2026-05-15,0.1729,6.100,1.0171,1.073,0
2026-05-16,0.1729,4.901,1.0171,0.862,0
2026-05-17,0.1729,6.453,1.0171,1.135,0
2026-05-18,0.1729,4.253,1.0171,0.748,0
2026-05-19,0.1729,4.313,1.0171,0.759,0
2026-05-20,0.1729,5.428,1.0171,0.955,0
2026-05-21,0.1729,3.336,1.0171,0.587,0
2026-05-22,0.1729,3.780,1.0171,0.665,0
2026-05-23,0.1729,4.216,1.0171,0.742,0
2026-05-24,0.1729,3.301,1.0171,0.581,0
2026-05-25,0.1729,4.436,1.0171,0.780,0
2026-05-26,0.1729,4.823,1.0171,0.848,1
2026-05-27,0.1729,4.353,1.0171,0.766,0
2026-05-28,0.1729,4.740,1.0171,0.834,0
2026-05-29,0.1729,5.283,1.0171,0.929,0
2026-05-30,0.1729,6.290,1.0171,1.106,0
2026-05-31,0.1729,6.359,1.0171,1.119,0
