date,etrf,etr_mm,crad,et_mm,is_image
2026-05-01,0.4001,4.402,0.9965,1.755,0
2026-05-02,0.4001,3.974,0.9965,1.584,0
2026-05-03,0.4001,4.219,0.9965,1.682,0
2026-05-04,0.4001,4.018,0.9965,1.602,0
2026-05-05,0.4001,6.341,0.9965,2.528,0
2026-05-06,0.4001,7.465,0.9965,2.976,0
2026-05-07,0.4001,7.485,0.9965,2.984,0
2026-05-08,0.4001,6.128,0.9965,2.443,0
2026-05-09,0.4001,7.485,0.9965,2.984,0
2026-05-10,0.4001,3.971,0.9965,1.583,0
2026-05-11,0.4001,6.551,0.9965,2.612,0
2026-05-12,0.4001,6.961,0.9965,2.775,0
2026-05-13,0.4001,6.847,0.9965,2.730,0
2026-05-14,0.4001,7.226,0.9965,2.881,0
2026-05-15,0.4001,5.416,0.9965,2.159,0
2026-05-16,0.4001,7.183,0.9965,2.864,1
2026-05-17,0.4001,10.194,0.9965,4.064,0
2026-05-18,0.4001,4.552,0.9965,1.815,0
2026-05-19,0.4001,5.125,0.9965,2.043,0
2026-05-20,0.4001,7.270,0.9965,2.898,0
2026-05-21,0.4001,3.619,0.9965,1.443,0
2026-05-22,0.4001,3.917,0.9965,1.562,0
2026-05-23,0.4001,3.130,0.9965,1.248,0
2026-05-24,0.4001,3.926,0.9965,1.565,0
2026-05-25,0.4001,6.447,0.9965,2.570,0
2026-05-26,0.4001,6.117,0.9965,2.439,0
2026-05-27,0.4001,5.479,0.9965,2.184,0
2026-05-28,0.4001,6.749,0.9965,2.691,0
2026-05-29,0.4001,7.605,0.9965,3.032,0
2026-05-30,0.4001,8.996,0.9965,3.587,0
2026-05-31,0.4001,7.373,0.9965,2.939,0
