date,etrf,etr_mm,crad,et_mm,is_image
2026-04-01,0.4374,4.319,1.0068,1.902,0
2026-04-02,0.4374,3.164,1.0068,1.393,0
2026-04-03,0.4374,1.538,1.0068,0.677,0
2026-04-04,0.4374,2.220,1.0068,0.978,0
2026-04-05,0.4374,3.972,1.0068,1.749,0
2026-04-06,0.4374,2.351,1.0068,1.035,0
2026-04-07,0.4374,1.650,1.0068,0.727,0
2026-04-08,0.4374,3.033,1.0068,1.335,0
2026-04-09,0.4374,3.622,1.0068,1.595,0
2026-04-10,0.4374,3.737,1.0068,1.645,0
2026-04-11,0.4374,4.037,1.0068,1.778,0
2026-04-12,0.4374,4.448,1.0068,1.958,0
2026-04-13,0.4374,5.207,1.0068,2.293,1
2026-04-14,0.4869,4.437,1.0068,2.175,0
2026-04-15,0.4869,3.987,1.0068,1.954,0
2026-04-16,0.4869,4.786,1.0068,2.346,0
2026-04-17,0.4869,2.767,1.0068,1.357,0
2026-04-18,0.4869,3.405,1.0068,1.669,0
2026-04-19,0.4869,4.592,1.0068,2.251,0
2026-04-20,0.4869,6.035,1.0068,2.959,0
2026-04-21,0.4869,4.348,1.0068,2.132,0
2026-04-22,0.4869,2.255,1.0071,1.106,0
2026-04-23,0.4869,3.482,1.0071,1.707,0
2026-04-24,0.4869,5.112,1.0071,2.507,0
2026-04-25,0.4869,6.573,1.0071,3.223,0
2026-04-26,0.4869,5.400,1.0071,2.648,0
2026-04-27,0.4869,6.426,1.0071,3.151,0
2026-04-28,0.4869,5.848,1.0071,2.868,0
2026-04-29,0.5365,5.760,1.0071,3.112,1
2026-04-30,0.5365,5.294,1.0071,2.861,0
