date,etrf_tile,etr_mm_hr,le_wm2,rn_wm2,g_wm2,h_wm2
2026-04-13,0.4295,0.2904,81.92,54.79,10.46,-37.59
2026-04-29,0.5305,0.2761,97.01,74.56,12.35,-34.77
