date,etrf_tile,etr_mm_hr,le_wm2,rn_wm2,g_wm2,h_wm2
2026-03-12,0.1696,0.1146,-6.96,-2.27,-0.13,4.80
2026-03-20,0.2047,0.1430,3.22,2.05,-0.02,-1.19
