date,etrf,etr_mm,crad,et_mm,is_image
2026-03-01,0.1089,2.380,1.0058,0.261,0
2026-03-02,0.1089,1.326,1.0058,0.145,0
2026-03-03,0.1089,1.159,1.0058,0.127,0
2026-03-04,0.1089,1.252,1.0058,0.137,0
2026-03-05,0.1089,0.588,1.0058,0.064,0
2026-03-06,0.1089,1.965,1.0058,0.215,0
2026-03-07,0.1089,1.950,1.0058,0.214,0
2026-03-08,0.1089,2.647,1.0058,0.290,0
2026-03-09,0.1089,1.290,1.0058,0.141,0
2026-03-10,0.1089,1.676,1.0058,0.184,0
2026-03-11,0.1089,2.358,1.0058,0.258,0
2026-03-12,0.1089,2.541,1.0058,0.278,1
2026-03-13,0.1387,2.809,1.0058,0.392,0
2026-03-14,0.1387,1.879,1.0058,0.262,0
2026-03-15,0.1387,1.821,1.0058,0.254,0
2026-03-16,0.1387,2.634,1.0058,0.368,0
2026-03-17,0.1387,2.888,1.0067,0.403,0
2026-03-18,0.1387,2.209,1.0067,0.309,0
2026-03-19,0.1387,2.332,1.0067,0.326,0
2026-03-20,0.1686,2.759,1.0067,0.468,1
2026-03-21,0.1686,3.127,1.0067,0.531,0
2026-03-22,0.1686,3.144,1.0067,0.533,0
2026-03-23,0.1686,3.118,1.0067,0.529,0
2026-03-24,0.1686,5.139,1.0067,0.872,0
2026-03-25,0.1686,5.362,1.0067,0.910,0
2026-03-26,0.1686,4.029,1.0067,0.684,0
2026-03-27,0.1686,5.286,1.0067,0.897,0
2026-03-28,0.1686,2.837,1.0067,0.481,0
2026-03-29,0.1686,3.413,1.0067,0.579,0
2026-03-30,0.1686,3.887,1.0067,0.660,0
2026-03-31,0.1686,4.731,1.0067,0.803,0
