date,etrf,etr_mm,crad,et_mm,is_image
2026-05-01,0.5456,4.429,1.0107,2.443,0
2026-05-02,0.5456,3.342,1.0107,1.843,0
2026-05-03,0.5456,3.161,1.0107,1.743,0
2026-05-04,0.5456,3.526,1.0107,1.944,0
2026-05-05,0.5456,5.259,1.0107,2.900,0
2026-05-06,0.5456,5.961,1.0107,3.287,0
2026-05-07,0.5456,6.629,1.0107,3.655,0
2026-05-08,0.5456,5.292,1.0107,2.918,0
2026-05-09,0.5456,5.194,1.0107,2.864,0
2026-05-10,0.5456,3.442,1.0107,1.898,0
2026-05-11,0.5456,4.547,1.0107,2.508,0
2026-05-12,0.5456,6.210,1.0107,3.424,0
2026-05-13,0.5456,6.506,1.0107,3.588,0
2026-05-14,0.5456,7.150,1.0107,3.943,0
2026-05-15,0.5456,5.952,1.0107,3.282,0
2026-05-16,0.5456,5.611,1.0107,3.094,1
2026-05-17,0.5456,7.901,1.0107,4.357,0
2026-05-18,0.5456,4.174,1.0107,2.302,0
2026-05-19,0.5456,4.995,1.0107,2.754,0
2026-05-20,0.5456,5.681,1.0107,3.133,0
2026-05-21,0.5456,3.756,1.0107,2.071,0
2026-05-22,0.5456,3.866,1.0107,2.132,0
2026-05-23,0.5456,3.354,1.0107,1.849,0
2026-05-24,0.5456,3.805,1.0107,2.098,0
2026-05-25,0.5456,5.614,1.0107,3.096,0
2026-05-26,0.5456,5.436,1.0107,2.998,0
2026-05-27,0.5456,6.614,1.0107,3.647,0
2026-05-28,0.5456,5.214,1.0107,2.875,0
2026-05-29,0.5456,7.018,1.0107,3.870,0
2026-05-30,0.5456,7.331,1.0107,4.042,0
2026-05-31,0.5456,6.381,1.0107,3.519,0
