date,etrf_tile,etr_mm_hr,le_wm2,rn_wm2,g_wm2,h_wm2
2026-04-01,0.0994,0.0674,-51.80,-29.50,-5.38,27.49
2026-04-25,0.1653,0.1366,-2.80,1.20,-0.46,4.34
