date,etrf,etr_mm,crad,et_mm,is_image
2026-04-01,0.0975,3.736,0.9765,0.356,1
2026-04-02,0.1269,3.322,0.9765,0.412,0
2026-04-03,0.1269,3.216,0.9765,0.399,0
2026-04-04,0.1269,1.804,0.9765,0.224,0
2026-04-05,0.1269,2.532,0.9765,0.314,0
2026-04-06,0.1269,3.279,0.9765,0.406,0
2026-04-07,0.1269,2.842,0.9765,0.352,0
2026-04-08,0.1269,1.636,0.9765,0.203,0
2026-04-09,0.1269,2.144,0.9765,0.266,0
2026-04-10,0.1269,2.980,0.9765,0.369,0
2026-04-11,0.1269,2.945,0.9765,0.365,0
2026-04-12,0.1269,3.398,0.9765,0.421,0
2026-04-13,0.1269,4.049,0.9765,0.502,0
2026-04-14,0.1269,4.573,0.9912,0.575,0
2026-04-15,0.1269,3.703,0.9912,0.466,0
2026-04-16,0.1269,2.416,0.9912,0.304,0
2026-04-17,0.1269,2.728,0.9912,0.343,0
2026-04-18,0.1269,3.202,0.9912,0.403,0
2026-04-19,0.1269,2.851,0.9912,0.359,0
2026-04-20,0.1269,4.526,0.9912,0.569,0
2026-04-21,0.1269,3.783,0.9912,0.476,0
2026-04-22,0.1269,2.314,0.9912,0.291,0
2026-04-23,0.1269,2.462,0.9912,0.310,0
2026-04-24,0.1269,3.884,0.9912,0.489,0
2026-04-25,0.1563,4.226,0.9912,0.655,1
2026-04-26,0.1563,4.186,0.9912,0.649,0
2026-04-27,0.1563,4.127,0.9912,0.639,0
2026-04-28,0.1563,3.441,0.9912,0.533,0
2026-04-29,0.1563,3.923,0.9912,0.608,0
2026-04-30,0.1563,4.056,0.9912,0.629,0
