date,etrf,etr_mm,crad,et_mm,is_image
2026-05-01,0.1955,3.979,0.9936,0.773,0
2026-05-02,0.1955,3.166,0.9936,0.615,0
2026-05-03,0.1955,2.315,0.9936,0.450,0
2026-05-04,0.1955,3.360,0.9936,0.653,0
2026-05-05,0.1955,4.357,0.9936,0.846,0
2026-05-06,0.1955,5.262,0.9936,1.022,0
2026-05-07,0.1955,5.349,0.9936,1.039,0
2026-05-08,0.1955,5.406,0.9936,1.050,0
2026-05-09,0.1955,5.045,0.9936,0.980,0
2026-05-10,0.1955,2.955,0.9936,0.574,0
2026-05-11,0.1955,3.720,0.9936,0.722,0
2026-05-12,0.1955,3.953,0.9936,0.768,0
2026-05-13,0.1955,4.914,0.9936,0.954,0
2026-05-14,0.1955,5.396,0.9936,1.048,0
2026-05-15,0.1955,5.932,0.9936,1.152,0
2026-05-16,0.1955,5.059,0.9936,0.983,0
2026-05-17,0.1955,6.020,0.9936,1.169,0
2026-05-18,0.1955,4.474,0.9936,0.869,0
2026-05-19,0.1955,4.126,0.9936,0.801,1
2026-05-20,0.1955,5.151,0.9936,1.000,0
2026-05-21,0.1955,3.282,0.9936,0.637,0
2026-05-22,0.1955,3.746,0.9936,0.727,0
2026-05-23,0.1955,4.165,0.9936,0.809,0
2026-05-24,0.1955,3.659,0.9936,0.711,0
2026-05-25,0.1955,4.078,0.9936,0.792,0
2026-05-26,0.1955,4.824,0.9936,0.937,0
2026-05-27,0.1955,4.366,0.9936,0.848,0
2026-05-28,0.1955,4.907,0.9936,0.953,0
2026-05-29,0.1955,5.325,0.9936,1.034,0
2026-05-30,0.1955,6.209,0.9936,1.206,0
2026-05-31,0.1955,6.498,0.9936,1.262,0
