date,etrf_tile,etr_mm_hr,le_wm2,rn_wm2,g_wm2,h_wm2
2026-03-13,0.2199,0.0964,-7.05,-1.21,-0.53,6.34
2026-03-29,0.4945,0.1322,45.21,36.01,3.54,-12.76
