date,etrf,etr_mm,crad,et_mm,is_image
2026-03-01,0.2038,2.826,0.9800,0.564,0
2026-03-02,0.2038,1.591,0.9800,0.318,0
2026-03-03,0.2038,1.483,0.9800,0.296,0
2026-03-04,0.2038,0.986,0.9800,0.197,0
2026-03-05,0.2038,0.531,0.9800,0.106,0
2026-03-06,0.2038,1.838,0.9800,0.367,0
2026-03-07,0.2038,2.237,0.9800,0.447,0
2026-03-08,0.2038,3.207,0.9800,0.641,0
2026-03-09,0.2038,1.942,0.9800,0.388,0
2026-03-10,0.2038,1.219,0.9800,0.244,0
2026-03-11,0.2038,2.413,0.9800,0.482,0
2026-03-12,0.2038,2.089,0.9800,0.417,0
2026-03-13,0.2038,2.757,0.9800,0.551,1
2026-03-14,0.3331,1.571,0.9800,0.513,0
2026-03-15,0.3331,1.683,0.9800,0.549,0
2026-03-16,0.3331,2.673,0.9800,0.873,0
2026-03-17,0.3331,2.525,0.9800,0.824,0
2026-03-18,0.3331,1.783,0.9800,0.582,0
2026-03-19,0.3331,2.055,0.9800,0.671,0
2026-03-20,0.3331,2.737,0.9800,0.893,0
2026-03-21,0.3331,3.276,0.9800,1.069,0
2026-03-22,0.3331,3.199,0.9887,1.054,0
2026-03-23,0.3331,3.590,0.9887,1.182,0
2026-03-24,0.3331,5.492,0.9887,1.809,0
2026-03-25,0.3331,4.489,0.9887,1.479,0
2026-03-26,0.3331,4.510,0.9887,1.485,0
2026-03-27,0.3331,5.520,0.9887,1.818,0
2026-03-28,0.3331,2.572,0.9887,0.847,0
2026-03-29,0.4624,3.646,0.9887,1.667,1
2026-03-30,0.4624,4.195,0.9887,1.918,0
2026-03-31,0.4624,5.161,0.9887,2.359,0
