date,etrf,etr_mm,crad,et_mm,is_image
2026-04-01,0.5612,3.969,1.0107,2.251,0
2026-04-02,0.5612,3.222,1.0107,1.828,0
2026-04-03,0.5612,1.606,1.0107,0.911,0
2026-04-04,0.5612,1.960,1.0107,1.112,0
2026-04-05,0.5612,3.665,1.0107,2.079,0
2026-04-06,0.5612,2.351,1.0107,1.333,0
2026-04-07,0.5612,1.430,1.0107,0.811,0
2026-04-08,0.5612,2.849,1.0107,1.616,0
2026-04-09,0.5612,3.558,1.0107,2.018,0
2026-04-10,0.5612,3.565,1.0107,2.022,0
2026-04-11,0.5612,3.884,1.0107,2.203,0
2026-04-12,0.5612,4.179,1.0107,2.370,0
2026-04-13,0.5612,4.831,1.0107,2.740,0
2026-04-14,0.5612,4.390,1.0107,2.490,1
2026-04-15,0.5612,3.548,1.0107,2.013,0
2026-04-16,0.5612,4.483,1.0107,2.543,0
2026-04-17,0.5612,2.791,1.0107,1.583,0
2026-04-18,0.5612,3.263,1.0107,1.851,0
2026-04-19,0.5612,4.218,1.0107,2.393,0
2026-04-20,0.5612,5.507,1.0107,3.123,0
2026-04-21,0.5612,4.105,1.0107,2.328,0
2026-04-22,0.5612,2.251,1.0107,1.277,0
2026-04-23,0.5612,3.318,1.0107,1.882,0
2026-04-24,0.5612,4.911,1.0107,2.786,0
2026-04-25,0.5612,5.902,1.0107,3.348,0
2026-04-26,0.5612,4.951,1.0107,2.808,0
2026-04-27,0.5612,5.709,1.0107,3.238,0
2026-04-28,0.5612,5.304,1.0107,3.008,0
2026-04-29,0.5612,5.363,1.0107,3.042,0
2026-04-30,0.5612,5.042,1.0107,2.860,0
