date,etrf_tile,etr_mm_hr,le_wm2,rn_wm2,g_wm2,h_wm2
2026-03-12,0.0420,0.0829,-31.92,-17.33,-1.42,16.02
2026-03-20,0.0811,0.1138,-16.33,-9.63,-1.51,8.22
