date,etrf,etr_mm,crad,et_mm,is_image
2026-03-01,0.0169,3.167,0.9821,0.052,0
2026-03-02,0.0169,1.724,0.9821,0.029,0
2026-03-03,0.0169,1.609,0.9821,0.027,0
2026-03-04,0.0169,1.134,0.9821,0.019,0
2026-03-05,0.0169,0.536,0.9821,0.009,0
2026-03-06,0.0169,1.875,0.9821,0.031,0
2026-03-07,0.0169,2.326,0.9821,0.039,0
2026-03-08,0.0169,3.434,0.9821,0.057,0
2026-03-09,0.0169,1.983,0.9821,0.033,0
2026-03-10,0.0169,1.441,0.9821,0.024,0
2026-03-11,0.0169,2.695,0.9821,0.045,0
2026-03-12,0.0169,2.216,0.9821,0.037,1
2026-03-13,0.0277,2.933,0.9821,0.080,0
2026-03-14,0.0277,1.675,0.9821,0.046,0
2026-03-15,0.0277,1.910,0.9821,0.052,0
2026-03-16,0.0277,2.906,0.9821,0.079,0
2026-03-17,0.0277,2.739,0.9859,0.075,0
2026-03-18,0.0277,1.989,0.9859,0.054,0
2026-03-19,0.0277,2.169,0.9859,0.059,0
2026-03-20,0.0385,3.003,0.9859,0.114,1
2026-03-21,0.0385,3.668,0.9859,0.139,0
2026-03-22,0.0385,3.815,0.9859,0.145,0
2026-03-23,0.0385,4.025,0.9859,0.153,0
2026-03-24,0.0385,6.191,0.9859,0.235,0
2026-03-25,0.0385,4.751,0.9859,0.180,0
2026-03-26,0.0385,5.163,0.9859,0.196,0
2026-03-27,0.0385,6.447,0.9859,0.245,0
2026-03-28,0.0385,2.619,0.9859,0.099,0
2026-03-29,0.0385,3.973,0.9859,0.151,0
2026-03-30,0.0385,4.822,0.9859,0.183,0
2026-03-31,0.0385,6.027,0.9859,0.229,0
